"","V1","V2","V3"
"V211","0.2100000","0.5202970","0.5529075"
"V212","0.2110000","0.5190780","0.5511904"
"V213","0.2120000","0.5176985","0.5494062"
"V214","0.2130000","0.5161443","0.5475795"
"V215","0.2140000","0.5144089","0.5457370"
"V216","0.2150000","0.5124931","0.5439070"
"V217","0.2160000","0.5104080","0.5421071"
"V218","0.2170000","0.5082100","0.5403427"
"V219","0.2180000","0.5059580","0.5386178"
"V220","0.2190000","0.5037038","0.5369351"
"V221","0.2200000","0.5014914","0.5352962"
"V222","0.2210000","0.4993575","0.5337015"
"V223","0.2220000","0.4973312","0.5321500"
"V224","0.2230000","0.4954342","0.5306397"
"V225","0.2240000","0.4936809","0.5291670"
"V226","0.2250000","0.4920781","0.5277276"
"V227","0.226000","0.490627","0.526316"
"V228","0.2270000","0.4893072","0.5249328"
"V229","0.2280000","0.4880606","0.5235818"
"V230","0.2290000","0.4868334","0.5222657"
"V231","0.2300000","0.4855785","0.5209866"
"V232","0.2310000","0.4842560","0.5197457"
"V233","0.2320000","0.4828331","0.5185432"
"V234","0.2330000","0.4812838","0.5173784"
"V235","0.2340000","0.4795893","0.5162499"
"V236","0.2350000","0.4777377","0.5151553"
"V237","0.2360000","0.4757241","0.5140913"
"V238","0.2370000","0.4735493","0.5130539"
"V239","0.2380000","0.4712509","0.5120359"
"V240","0.2390000","0.4688873","0.5110283"
"V241","0.2400000","0.4665104","0.5100228"
"V242","0.2410000","0.4641656","0.5090113"
"V243","0.2420000","0.4618915","0.5079863"
"V244","0.2430000","0.4597203","0.5069407"
"V245","0.2440000","0.4576778","0.5058678"
"V246","0.2450000","0.4557831","0.5047612"
"V247","0.2460000","0.4540486","0.5036153"
"V248","0.2470000","0.4524811","0.5024246"
"V249","0.2480000","0.4510752","0.5011864"
"V250","0.2490000","0.4497850","0.4998967"
"V251","0.2500000","0.4485614","0.4985518"
"V252","0.2510000","0.4473605","0.4971490"
"V253","0.2520000","0.4461438","0.4956862"
"V254","0.2530000","0.4448780","0.4941626"
"V255","0.2540000","0.4435352","0.4925779"
"V256","0.2550000","0.4420929","0.4909332"
"V257","0.2560000","0.4405336","0.4892300"
"V258","0.2570000","0.4388454","0.4874711"
"V259","0.2580000","0.4370205","0.4856598"
"V260","0.2590000","0.4350773","0.4838061"
"V261","0.2600000","0.4330586","0.4819282"
"V262","0.2610000","0.4310028","0.4800447"
"V263","0.2620000","0.4289428","0.4781745"
"V264","0.2630000","0.4269063","0.4763368"
"V265","0.2640000","0.4249155","0.4745510"
"V266","0.2650000","0.4229874","0.4728369"
"V267","0.2660000","0.4211335","0.4712145"
"V268","0.2670000","0.4193601","0.4697039"
"V269","0.2680000","0.4176685","0.4683257"
"V270","0.269000","0.416054","0.467092"
"V271","0.2700000","0.4144760","0.4660017"
"V272","0.2710000","0.4128899","0.4650485"
"V273","0.2720000","0.4112587","0.4642215"
"V274","0.2730000","0.4095528","0.4635047"
"V275","0.2740000","0.4077497","0.4628773"
"V276","0.2750000","0.4058347","0.4623138"
"V277","0.2760000","0.4038002","0.4617838"
"V278","0.2770000","0.4016458","0.4612520"
"V279","0.2780000","0.3993789","0.4606783"
"V280","0.2790000","0.3970109","0.4600234"
"V281","0.2800000","0.3945802","0.4592622"
"V282","0.2810000","0.3921533","0.4583697"
"V283","0.2820000","0.3897903","0.4573286"
"V284","0.2830000","0.3875442","0.4561293"
"V285","0.2840000","0.3854608","0.4547705"
"V286","0.2850000","0.3835785","0.4532586"
"V287","0.2860000","0.3819288","0.4516082"
"V288","0.2870000","0.3805355","0.4498415"
"V289","0.2880000","0.3794157","0.4479890"
"V290","0.2890000","0.3785795","0.4460880"
"V291","0.2900000","0.3780207","0.4441686"
"V292","0.2910000","0.3776876","0.4422679"
"V293","0.2920000","0.3775226","0.4404212"
"V294","0.2930000","0.3774708","0.4386566"
"V295","0.2940000","0.3774792","0.4369955"
