"","V1","V2"
"V213"," 0.2120000","-0.1979372"
"V214"," 0.2130000","-0.1984918"
"V215"," 0.2140000","-0.1966755"
"V216"," 0.2150000","-0.1922901"
"V217"," 0.2160000","-0.1853423"
"V218"," 0.2170000","-0.1760447"
"V219"," 0.2180000","-0.1648015"
"V220"," 0.219000","-0.152179"
"V221"," 0.2200000","-0.1388621"
"V222"," 0.2210000","-0.1256035"
"V223"," 0.2220000","-0.1131663"
"V224"," 0.2230000","-0.1022667"
"V225"," 0.22400000","-0.09352035"
"V226"," 0.225000","-0.087397"
"V227"," 0.22600000","-0.08418641"
"V228"," 0.22700000","-0.08397837"
"V229"," 0.2280000","-0.0866577"
"V230"," 0.22900000","-0.09191445"
"V231"," 0.23000000","-0.09926796"
"V232"," 0.2310000","-0.1081025"
"V233"," 0.2320000","-0.1177114"
"V234"," 0.2330000","-0.1273458"
"V235"," 0.2340000","-0.1362638"
"V236"," 0.2350000","-0.1437774"
"V237"," 0.2360000","-0.1492917"
"V238"," 0.2370000","-0.1523361"
"V239"," 0.2380000","-0.1525834"
"V240"," 0.2390000","-0.1498581"
"V241"," 0.2400000","-0.1441329"
"V242"," 0.2410000","-0.1355145"
"V243"," 0.2420000","-0.1242227"
"V244"," 0.2430000","-0.1105623"
"V245"," 0.2440000","-0.0948942"
"V246"," 0.24500000","-0.07760525"
"V247"," 0.24600000","-0.05908263"
"V248"," 0.24700000","-0.03969262"
"V249"," 0.24800000","-0.01976631"
"V250","0.249000000","0.000407275"
"V251","0.2500000","0.0205811"
"V252","0.25100000","0.04054373"
"V253","0.2520000","0.0601084"
"V254","0.25300000","0.07909969"
"V255","0.2540000","0.0973399"
"V256","0.2550000","0.1146375"
"V257","0.2560000","0.1307792"
"V258","0.2570000","0.1455282"
"V259","0.2580000","0.1586274"
"V260","0.2590000","0.1698102"
"V261","0.2600000","0.1788154"
"V262","0.2610000","0.1854072"
"V263","0.262000","0.189397"
"V264","0.2630000","0.1906652"
"V265","0.2640000","0.1891801"
"V266","0.2650000","0.1850127"
"V267","0.2660000","0.1783441"
"V268","0.2670000","0.1694659"
"V269","0.2680000","0.1587707"
"V270","0.2690000","0.1467362"
"V271","0.2700000","0.1339001"
"V272","0.2710000","0.1208306"
"V273","0.2720000","0.1080938"
