"","V1","V2","V3"
"V567"," 0.5660000","-1.0854331","-0.8961432"
"V568"," 0.5670000","-1.0853325","-0.8952457"
"V569"," 0.5680000","-1.0852146","-0.8943679"
"V570"," 0.5690000","-1.0850793","-0.8935103"
"V571"," 0.5700000","-1.0849265","-0.8926738"
"V572"," 0.5710000","-1.0847561","-0.8918589"
"V573"," 0.5720000","-1.0845678","-0.8910665"
"V574"," 0.5730000","-1.0843617","-0.8902971"
"V575"," 0.5740000","-1.0841376","-0.8895515"
"V576"," 0.5750000","-1.0838954","-0.8888304"
"V577"," 0.5760000","-1.0836350","-0.8881343"
"V578"," 0.577000","-1.083356","-0.887464"
"V579"," 0.5780000","-1.0830591","-0.8868202"
"V580"," 0.5790000","-1.0827435","-0.8862035"
"V581"," 0.5800000","-1.0824092","-0.8856144"
"V582"," 0.5810000","-1.0820564","-0.8850532"
"V583"," 0.5820000","-1.0816849","-0.8845204"
"V584"," 0.5830000","-1.0812945","-0.8840165"
"V585"," 0.5840000","-1.0808854","-0.8835422"
"V586"," 0.5850000","-1.0804572","-0.8830978"
"V587"," 0.5860000","-1.0800101","-0.8826839"
"V588"," 0.587000","-1.079544","-0.882301"
"V589"," 0.5880000","-1.0790584","-0.8819494"
"V590"," 0.5890000","-1.0785539","-0.8816296"
"V591"," 0.5900000","-1.0780300","-0.8813421"
"V592"," 0.591000","-1.077487","-0.881087"
"V593"," 0.592000","-1.076924","-0.880865"
"V594"," 0.5930000","-1.0763427","-0.8806761"
"V595"," 0.5940000","-1.0757415","-0.8805209"
"V596"," 0.5950000","-1.0751209","-0.8803996"
"V597"," 0.5960000","-1.0744809","-0.8803124"
"V598"," 0.5970000","-1.0738215","-0.8802597"
"V599"," 0.5980000","-1.0731427","-0.8802416"
"V600"," 0.5990000","-1.0724445","-0.8802584"
"V601"," 0.6000000","-1.0717269","-0.8803102"
"V602"," 0.6010000","-1.0709898","-0.8803974"
"V603"," 0.6020000","-1.0702335","-0.8805199"
"V604"," 0.603000","-1.069458","-0.880678"
"V605"," 0.6040000","-1.0686628","-0.8808718"
"V606"," 0.6050000","-1.0678486","-0.8811014"
"V607"," 0.6060000","-1.0670151","-0.8813668"
"V608"," 0.6070000","-1.0661625","-0.8816682"
"V609"," 0.6080000","-1.0652908","-0.8820055"
"V610"," 0.6090000","-1.0644001","-0.8823788"
"V611"," 0.6100000","-1.0634904","-0.8827881"
"V612"," 0.6110000","-1.0625618","-0.8832333"
"V613"," 0.6120000","-1.0616144","-0.8837145"
"V614"," 0.6130000","-1.0606483","-0.8842315"
"V615"," 0.6140000","-1.0596635","-0.8847844"
"V616"," 0.615000","-1.058660","-0.885373"
"V617"," 0.6160000","-1.0576386","-0.8859971"
"V618"," 0.6170000","-1.0565986","-0.8866567"
"V619"," 0.6180000","-1.0555404","-0.8873517"
"V620"," 0.6190000","-1.0544641","-0.8880817"
"V621"," 0.6200000","-1.0533698","-0.8888467"
"V622"," 0.6210000","-1.0522578","-0.8896465"
"V623"," 0.6220000","-1.0511280","-0.8904808"
"V624"," 0.6230000","-1.0499808","-0.8913493"
"V625"," 0.624000","-1.048816","-0.892252"
"V626"," 0.6250000","-1.0476344","-0.8931886"
"V627"," 0.6260000","-1.0464357","-0.8941586"
"V628"," 0.6270000","-1.0452203","-0.8951618"
"V629"," 0.6280000","-1.0439883","-0.8961978"
"V630"," 0.6290000","-1.0427399","-0.8972661"
"V631"," 0.6300000","-1.0414754","-0.8983664"
"V632"," 0.6310000","-1.0401950","-0.8994982"
"V633"," 0.6320000","-1.0388989","-0.9006612"
"V634"," 0.6330000","-1.0375874","-0.9018549"
"V635"," 0.6340000","-1.0362607","-0.9030788"
"V636"," 0.6350000","-1.0349191","-0.9043324"
"V637"," 0.6360000","-1.0335629","-0.9056154"
"V638"," 0.6370000","-1.0321922","-0.9069271"
"V639"," 0.6380000","-1.0308075","-0.9082672"
"V640"," 0.639000","-1.029409","-0.909635"
"V641"," 0.6400000","-1.0279969","-0.9110301"
"V642"," 0.6410000","-1.0265716","-0.9124519"
"V643"," 0.6420000","-1.0251335","-0.9138999"
"V644"," 0.6430000","-1.0236828","-0.9153735"
"V645"," 0.6440000","-1.0222199","-0.9168721"
"V646"," 0.6450000","-1.0207450","-0.9183952"
"V647"," 0.6460000","-1.0192587","-0.9199421"
"V648"," 0.6470000","-1.0177611","-0.9215123"
"V649"," 0.648000","-1.016253","-0.923105"
