"","V1","V2","V3"
"V210","0.2090000","0.6038861","1.0689185"
"V211","0.210000","0.602120","1.071918"
"V212","0.2110000","0.6003673","1.0749495"
"V213","0.2120000","0.5986283","1.0780109"
"V214","0.2130000","0.5969031","1.0811018"
"V215","0.214000","0.595192","1.084221"
"V216","0.2150000","0.5934952","1.0873684"
"V217","0.2160000","0.5918128","1.0905422"
"V218","0.2170000","0.5901451","1.0937417"
"V219","0.2180000","0.5884922","1.0969660"
"V220","0.2190000","0.5868544","1.1002141"
"V221","0.2200000","0.5852318","1.1034850"
"V222","0.2210000","0.5836246","1.1067776"
"V223","0.2220000","0.5820329","1.1100910"
"V224","0.223000","0.580457","1.113424"
"V225","0.2240000","0.5788969","1.1167758"
"V226","0.2250000","0.5773529","1.1201451"
"V227","0.2260000","0.5758251","1.1235309"
"V228","0.2270000","0.5743137","1.1269320"
"V229","0.2280000","0.5728187","1.1303473"
"V230","0.2290000","0.5713403","1.1337758"
"V231","0.2300000","0.5698788","1.1372162"
"V232","0.231000","0.568434","1.140667"
"V233","0.2320000","0.5670063","1.1441281"
"V234","0.2330000","0.5655958","1.1475973"
"V235","0.2340000","0.5642025","1.1510737"
"V236","0.2350000","0.5628265","1.1545560"
"V237","0.236000","0.561468","1.158043"
"V238","0.2370000","0.5601271","1.1615336"
"V239","0.2380000","0.5588038","1.1650263"
"V240","0.2390000","0.5574983","1.1685200"
"V241","0.2400000","0.5562106","1.1720132"
"V242","0.2410000","0.5549408","1.1755047"
"V243","0.242000","0.553689","1.178994"
"V244","0.2430000","0.5524551","1.1824793"
"V245","0.2440000","0.5512392","1.1859599"
"V246","0.2450000","0.5500414","1.1894342"
"V247","0.2460000","0.5488616","1.1929010"
"V248","0.2470000","0.5476999","1.1963588"
"V249","0.2480000","0.5465564","1.1998066"
"V250","0.2490000","0.5454309","1.2032428"
"V251","0.2500000","0.5443236","1.2066664"
"V252","0.2510000","0.5432343","1.2100761"
"V253","0.2520000","0.5421632","1.2134707"
"V254","0.253000","0.541110","1.216849"
"V255","0.2540000","0.5400749","1.2202099"
"V256","0.2550000","0.5390578","1.2235522"
"V257","0.2560000","0.5380586","1.2268748"
"V258","0.2570000","0.5370772","1.2301765"
"V259","0.2580000","0.5361135","1.2334563"
"V260","0.2590000","0.5351676","1.2367132"
"V261","0.2600000","0.5342392","1.2399460"
"V262","0.2610000","0.5333284","1.2431538"
"V263","0.2620000","0.5324349","1.2463355"
"V264","0.2630000","0.5315586","1.2494902"
"V265","0.2640000","0.5306995","1.2526168"
"V266","0.2650000","0.5298574","1.2557146"
"V267","0.2660000","0.5290322","1.2587824"
"V268","0.2670000","0.5282236","1.2618194"
"V269","0.2680000","0.5274316","1.2648248"
"V270","0.269000","0.526656","1.267798"
"V271","0.2700000","0.5258965","1.2707371"
"V272","0.271000","0.525153","1.273642"
"V273","0.2720000","0.5244253","1.2765124"
"V274","0.2730000","0.5237133","1.2793468"
"V275","0.2740000","0.5230166","1.2821445"
"V276","0.275000","0.522335","1.284905"
"V277","0.2760000","0.5216684","1.2876272"
"V278","0.2770000","0.5210165","1.2903107"
"V279","0.278000","0.520379","1.292955"
"V280","0.2790000","0.5197557","1.2955585"
"V281","0.2800000","0.5191462","1.2981215"
"V282","0.2810000","0.5185505","1.3006432"
"V283","0.2820000","0.5179681","1.3031234"
"V284","0.2830000","0.5173989","1.3055615"
"V285","0.2840000","0.5168423","1.3079573"
"V286","0.2850000","0.5162983","1.3103104"
"V287","0.2860000","0.5157663","1.3126205"
"V288","0.287000","0.515246","1.314887"
"V289","0.2880000","0.5147372","1.3171105"
"V290","0.2890000","0.5142394","1.3192901"
"V291","0.2900000","0.5137523","1.3214257"
"V292","0.2910000","0.5132755","1.3235174"
"V293","0.2920000","0.5128086","1.3255649"
"V294","0.2930000","0.5123513","1.3275684"
"V295","0.2940000","0.5119031","1.3295277"
"V296","0.2950000","0.5114638","1.3314429"
"V297","0.2960000","0.5110328","1.3333141"
"V298","0.2970000","0.5106097","1.3351414"
"V299","0.2980000","0.5101943","1.3369249"
"V300","0.299000","0.509786","1.338665"
"V301","0.3000000","0.5093843","1.3403613"
"V302","0.301000","0.508989","1.342015"
"V303","0.3020000","0.5085995","1.3436254"
"V304","0.3030000","0.5082154","1.3451936"
"V305","0.3040000","0.5078363","1.3467196"
"V306","0.3050000","0.5074617","1.3482040"
"V307","0.3060000","0.5070911","1.3496471"
"V308","0.307000","0.506724","1.351049"
"V309","0.3080000","0.5063601","1.3524115"
"V310","0.3090000","0.5059988","1.3537340"
"V311","0.3100000","0.5056396","1.3550173"
"V312","0.311000","0.505282","1.356262"
"V313","0.3120000","0.5049256","1.3574693"
"V314","0.3130000","0.5045698","1.3586394"
"V315","0.3140000","0.5042141","1.3597731"
"V316","0.3150000","0.5038581","1.3608713"
"V317","0.3160000","0.5035011","1.3619347"
"V318","0.3170000","0.5031427","1.3629643"
"V319","0.3180000","0.5027822","1.3639608"
"V320","0.3190000","0.5024193","1.3649254"
"V321","0.3200000","0.5020533","1.3658588"
"V322","0.3210000","0.5016839","1.3667616"
"V323","0.3220000","0.5013106","1.3676343"
"V324","0.3230000","0.5009329","1.3684781"
"V325","0.3240000","0.5005502","1.3692941"
"V326","0.325000","0.500162","1.370083"
"V327","0.3260000","0.4997677","1.3708474"
"V328","0.3270000","0.4993667","1.3715870"
"V329","0.3280000","0.4989585","1.3723035"
"V330","0.3290000","0.4985426","1.3729980"
"V331","0.3300000","0.4981183","1.3736716"
"V332","0.3310000","0.4976853","1.3743255"
"V333","0.332000","0.497243","1.374961"
"V334","0.3330000","0.4967908","1.3755785"
"V335","0.3340000","0.4963283","1.3761800"
"V336","0.3350000","0.4958549","1.3767661"
"V337","0.3360000","0.4953702","1.3773382"
"V338","0.3370000","0.4948737","1.3778973"
"V339","0.338000","0.494365","1.378444"
"V340","0.3390000","0.4938434","1.3789807"
"V341","0.3400000","0.4933086","1.3795072"
"V342","0.3410000","0.4927601","1.3800251"
"V343","0.3420000","0.4921975","1.3805355"
"V344","0.3430000","0.4916203","1.3810394"
"V345","0.3440000","0.4910281","1.3815378"
"V346","0.3450000","0.4904204","1.3820320"
"V347","0.3460000","0.4897968","1.3825228"
"V348","0.3470000","0.4891569","1.3830114"
"V349","0.3480000","0.4885003","1.3834989"
"V350","0.3490000","0.4878266","1.3839862"
"V351","0.3500000","0.4871353","1.3844745"
"V352","0.3510000","0.4864262","1.3849647"
"V353","0.3520000","0.4856987","1.3854580"
"V354","0.3530000","0.4849525","1.3859553"
"V355","0.3540000","0.4841873","1.3864576"
"V356","0.3550000","0.4834027","1.3869660"
"V357","0.3560000","0.4825983","1.3874815"
"V358","0.3570000","0.4817738","1.3880051"
"V359","0.3580000","0.4809287","1.3885379"
"V360","0.3590000","0.4800629","1.3890807"
"V361","0.3600000","0.4791759","1.3896347"
"V362","0.3610000","0.4782674","1.3902008"
"V363","0.3620000","0.4773371","1.3907799"
"V364","0.3630000","0.4763847","1.3913732"
"V365","0.3640000","0.4754099","1.3919814"
"V366","0.3650000","0.4744126","1.3926048"
"V367","0.3660000","0.4733926","1.3932441"
"V368","0.3670000","0.4723496","1.3939000"
"V369","0.3680000","0.4712836","1.3945732"
"V370","0.3690000","0.4701941","1.3952646"
"V371","0.3700000","0.4690811","1.3959746"
"V372","0.3710000","0.4679445","1.3967040"
"V373","0.3720000","0.4667839","1.3974533"
"V374","0.3730000","0.4655994","1.3982232"
"V375","0.3740000","0.4643907","1.3990140"
"V376","0.3750000","0.4631578","1.3998264"
"V377","0.3760000","0.4619005","1.4006608"
"V378","0.3770000","0.4606188","1.4015175"
"V379","0.3780000","0.4593127","1.4023970"
"V380","0.379000","0.457982","1.403300"
"V381","0.3800000","0.4566267","1.4042258"
"V382","0.3810000","0.4552468","1.4051755"
"V383","0.3820000","0.4538424","1.4061493"
"V384","0.3830000","0.4524133","1.4071472"
"V385","0.3840000","0.4509597","1.4081694"
"V386","0.3850000","0.4494815","1.4092162"
"V387","0.3860000","0.4479789","1.4102875"
"V388","0.3870000","0.4464518","1.4113835"
"V389","0.3880000","0.4449004","1.4125042"
"V390","0.3890000","0.4433248","1.4136496"
"V391","0.390000","0.441725","1.414820"
"V392","0.3910000","0.4401013","1.4160143"
"V393","0.3920000","0.4384537","1.4172335"
"V394","0.3930000","0.4367824","1.4184771"
"V395","0.3940000","0.4350875","1.4197448"
"V396","0.3950000","0.4333693","1.4210366"
"V397","0.396000","0.431628","1.422352"
"V398","0.3970000","0.4298637","1.4236911"
"V399","0.3980000","0.4280767","1.4250534"
"V400","0.3990000","0.4262672","1.4264384"
"V401","0.4000000","0.4244356","1.4278460"
"V402","0.4010000","0.4225819","1.4292756"
"V403","0.4020000","0.4207067","1.4307269"
"V404","0.403000","0.418810","1.432199"
"V405","0.4040000","0.4168924","1.4336925"
"V406","0.4050000","0.4149539","1.4352059"
"V407","0.406000","0.412995","1.436739"
"V408","0.4070000","0.4110159","1.4382915"
"V409","0.4080000","0.4090171","1.4398623"
"V410","0.409000","0.406999","1.441451"
"V411","0.410000","0.404962","1.443056"
"V412","0.4110000","0.4029065","1.4446774"
"V413","0.412000","0.400833","1.446314"
"V414","0.4130000","0.3987419","1.4479650"
"V415","0.4140000","0.3966337","1.4496294"
"V416","0.4150000","0.3945088","1.4513065"
"V417","0.4160000","0.3923678","1.4529952"
"V418","0.417000","0.390211","1.454695"
"V419","0.4180000","0.3880391","1.4564038"
"V420","0.4190000","0.3858524","1.4581218"
"V421","0.4200000","0.3836516","1.4598474"
"V422","0.421000","0.381437","1.461580"
"V423","0.4220000","0.3792094","1.4633179"
"V424","0.4230000","0.3769691","1.4650605"
"V425","0.4240000","0.3747168","1.4668065"
"V426","0.425000","0.372453","1.468555"
"V427","0.4260000","0.3701782","1.4703044"
"V428","0.4270000","0.3678931","1.4720540"
"V429","0.4280000","0.3655982","1.4738024"
"V430","0.4290000","0.3632941","1.4755483"
"V431","0.4300000","0.3609814","1.4772906"
"V432","0.4310000","0.3586608","1.4790280"
"V433","0.4320000","0.3563328","1.4807592"
"V434","0.433000","0.353998","1.482483"
"V435","0.4340000","0.3516572","1.4841978"
"V436","0.4350000","0.3493109","1.4859025"
"V437","0.4360000","0.3469598","1.4875957"
"V438","0.4370000","0.3446046","1.4892759"
"V439","0.438000","0.342246","1.490942"
"V440","0.4390000","0.3398845","1.4925918"
"V441","0.440000","0.337521","1.494225"
"V442","0.441000","0.335156","1.495839"
"V443","0.4420000","0.3327904","1.4974326"
"V444","0.4430000","0.3304248","1.4990046"
"V445","0.4440000","0.3280599","1.5005534"
"V446","0.4450000","0.3256965","1.5020773"
"V447","0.4460000","0.3233354","1.5035748"
"V448","0.4470000","0.3209771","1.5050442"
"V449","0.4480000","0.3186226","1.5064839"
"V450","0.4490000","0.3162726","1.5078923"
"V451","0.4500000","0.3139275","1.5092688"
"V452","0.451000","0.311588","1.510612"
"V453","0.4520000","0.3092548","1.5119203"
"V454","0.4530000","0.3069288","1.5131918"
"V455","0.4540000","0.3046107","1.5144250"
"V456","0.4550000","0.3023013","1.5156182"
"V457","0.4560000","0.3000013","1.5167699"
"V458","0.4570000","0.2977114","1.5178785"
"V459","0.4580000","0.2954325","1.5189424"
"V460","0.4590000","0.2931652","1.5199602"
"V461","0.4600000","0.2909103","1.5209303"
"V462","0.4610000","0.2886684","1.5218513"
"V463","0.4620000","0.2864404","1.5227218"
"V464","0.4630000","0.2842268","1.5235404"
"V465","0.4640000","0.2820285","1.5243057"
"V466","0.465000","0.279846","1.525016"
"V467","0.4660000","0.2776802","1.5256712"
"V468","0.4670000","0.2755315","1.5262689"
"V469","0.4680000","0.2734009","1.5268080"
"V470","0.4690000","0.2712888","1.5272876"
"V471","0.4700000","0.2691959","1.5277062"
"V472","0.471000","0.267123","1.528063"
"V473","0.4720000","0.2650707","1.5283564"
"V474","0.4730000","0.2630395","1.5285857"
"V475","0.4740000","0.2610301","1.5287497"
