"","V1","V2","V3"
"V380","0.3790000","0.8244526","1.0975173"
"V381","0.3800000","0.8250978","1.0913958"
"V382","0.3810000","0.8253889","1.0852100"
"V383","0.382000","0.825204","1.079269"
"V384","0.3830000","0.8244537","1.0738381"
"V385","0.3840000","0.8230728","1.0691550"
"V386","0.3850000","0.8210426","1.0654096"
"V387","0.3860000","0.8183966","1.0627377"
"V388","0.3870000","0.8152204","1.0612202"
"V389","0.3880000","0.8116517","1.0608839"
"V390","0.3890000","0.8078705","1.0617042"
"V391","0.3900000","0.8041015","1.0636003"
"V392","0.3910000","0.8006212","1.0664356"
"V393","0.392000","0.797683","1.070049"
"V394","0.3930000","0.7955136","1.0742577"
"V395","0.3940000","0.7943129","1.0788545"
"V396","0.3950000","0.7942538","1.0836106"
"V397","0.3960000","0.7954535","1.0882925"
"V398","0.3970000","0.7979086","1.0926752"
"V399","0.3980000","0.8015338","1.0965374"
"V400","0.3990000","0.8061585","1.0996826"
"V401","0.4000000","0.8115276","1.1019389"
"V402","0.4010000","0.8173009","1.1031591"
"V403","0.4020000","0.8230559","1.1032204"
"V404","0.4030000","0.8283557","1.1020380"
"V405","0.4040000","0.8327033","1.0995736"
"V406","0.4050000","0.8356352","1.0958258"
"V407","0.4060000","0.8367704","1.0908308"
"V408","0.407000","0.835810","1.084662"
"V409","0.4080000","0.8325376","1.0774312"
"V410","0.4090000","0.8268199","1.0692834"
"V411","0.4100000","0.8186761","1.0603831"
"V412","0.4110000","0.8083058","1.0509313"
"V413","0.4120000","0.7959958","1.0411287"
"V414","0.413000","0.782113","1.031169"
"V415","0.4140000","0.7671039","1.0212403"
"V416","0.4150000","0.7514945","1.0115220"
"V417","0.416000","0.735856","1.002181"
"V418","0.4170000","0.7206999","0.9933309"
"V419","0.4180000","0.7065246","0.9850494"
"V420","0.4190000","0.6937234","0.9773736"
"V421","0.4200000","0.6825792","0.9703012"
"V422","0.4210000","0.6732644","0.9637902"
"V423","0.4220000","0.6658412","0.9577587"
"V424","0.4230000","0.6602722","0.9521037"
"V425","0.4240000","0.6563551","0.9467029"
"V426","0.4250000","0.6537909","0.9414242"
"V427","0.4260000","0.6522584","0.9361554"
"V428","0.4270000","0.6514138","0.9308050"
"V429","0.4280000","0.6508909","0.9253019"
"V430","0.4290000","0.6503024","0.9195957"
"V431","0.4300000","0.6493209","0.9136732"
"V432","0.4310000","0.6477257","0.9075815"
"V433","0.4320000","0.6453652","0.9014036"
"V434","0.4330000","0.6421685","0.8952539"
"V435","0.4340000","0.6381454","0.8892784"
"V436","0.4350000","0.6333861","0.8836548"
"V437","0.4360000","0.6280533","0.8785870"
"V438","0.4370000","0.6223206","0.8742629"
"V439","0.4380000","0.6164019","0.8708740"
"V440","0.4390000","0.6104768","0.8685695"
"V441","0.4400000","0.6046750","0.8674466"
"V442","0.4410000","0.5990768","0.8675499"
"V443","0.4420000","0.5937128","0.8688724"
"V444","0.4430000","0.5885697","0.8713559"
"V445","0.4440000","0.5835538","0.8748678"
"V446","0.4450000","0.5784966","0.8792069"
"V447","0.4460000","0.5732444","0.8841442"
"V448","0.4470000","0.5676615","0.8894243"
"V449","0.4480000","0.5616304","0.8947658"
"V450","0.4490000","0.5550515","0.8998607"
"V451","0.4500000","0.5478705","0.9044019"
"V452","0.4510000","0.5401749","0.9081092"
"V453","0.4520000","0.5321361","0.9107216"
"V454","0.4530000","0.5239895","0.9120356"
"V455","0.4540000","0.5160339","0.9119051"
"V456","0.4550000","0.5086320","0.9102414"
"V457","0.456000","0.502208","0.907013"
"V458","0.4570000","0.4971509","0.9022508"
"V459","0.4580000","0.4938276","0.8960795"
"V460","0.4590000","0.4925175","0.8886722"
"V461","0.4600000","0.4933598","0.8802376"
"V462","0.4610000","0.4963529","0.8710193"
"V463","0.4620000","0.5013555","0.8612958"
"V464","0.4630000","0.5080930","0.8513765"
"V465","0.4640000","0.5161540","0.8415548"
"V466","0.4650000","0.5249022","0.8321268"
"V467","0.4660000","0.5336804","0.8233619"
"V468","0.4670000","0.5418421","0.8154932"
"V469","0.4680000","0.5487515","0.8087179"
"V470","0.4690000","0.5537838","0.8031969"
"V471","0.4700000","0.5563558","0.7990529"
"V472","0.4710000","0.5561257","0.7963495"
"V473","0.4720000","0.5529339","0.7950966"
"V474","0.4730000","0.5468147","0.7952624"
"V475","0.4740000","0.5380033","0.7967737"
"V476","0.4750000","0.5269355","0.7995160"
"V477","0.4760000","0.5142472","0.8033334"
"V478","0.4770000","0.5006966","0.8080397"
"V479","0.4780000","0.4871437","0.8134254"
"V480","0.4790000","0.4745201","0.8192562"
"V481","0.4800000","0.4636313","0.8252957"
"V482","0.4810000","0.4551547","0.8313051"
"V483","0.4820000","0.4496394","0.8370439"
"V484","0.4830000","0.4475067","0.8422696"
"V485","0.4840000","0.4489768","0.8467571"
"V486","0.4850000","0.4539074","0.8503025"
"V487","0.4860000","0.4619679","0.8527249"
"V488","0.4870000","0.4726824","0.8538764"
"V489","0.4880000","0.4854297","0.8536422"
"V490","0.4890000","0.4994441","0.8519402"
"V491","0.4900000","0.5138269","0.8487210"
"V492","0.4910000","0.5277539","0.8439739"
"V493","0.4920000","0.5404273","0.8377305"
"V494","0.4930000","0.5511889","0.8300575"
"V495","0.4940000","0.5595729","0.8210562"
"V496","0.4950000","0.5653056","0.8108622"
"V497","0.4960000","0.5683047","0.7996453"
"V498","0.4970000","0.5686665","0.7876056"
"V499","0.4980000","0.5666942","0.7749605"
"V500","0.4990000","0.5629370","0.7619554"
"V501","0.5000000","0.5579736","0.7488341"
"V502","0.5010000","0.5523945","0.7358364"
"V503","0.5020000","0.5468023","0.7231975"
"V504","0.5030000","0.5418114","0.7111482"
"V505","0.5040000","0.5379969","0.6999064"
"V506","0.5050000","0.5357047","0.6896596"
"V507","0.5060000","0.5351443","0.6805746"
"V508","0.5070000","0.5363905","0.6727842"
"V509","0.5080000","0.5393821","0.6663873"
"V510","0.5090000","0.5439217","0.6614483"
"V511","0.5100000","0.5496766","0.6579976"
"V512","0.5110000","0.5562632","0.6560313"
"V513","0.5120000","0.5632735","0.6554991"
"V514","0.5130000","0.5703078","0.6563170"
"V515","0.5140000","0.5770630","0.6583758"
"V516","0.5150000","0.5833322","0.6615410"
"V517","0.5160000","0.5890045","0.6656525"
"V518","0.5170000","0.5940632","0.6705257"
"V519","0.5180000","0.5985817","0.6759692"
"V520","0.5190000","0.6028159","0.6817780"
"V521","0.5200000","0.6070392","0.6877451"
"V522","0.5210000","0.6114976","0.6936689"
"V523","0.5220000","0.6164102","0.6993532"
"V524","0.5230000","0.6219690","0.7046071"
"V525","0.5240000","0.6283321","0.7092469"
"V526","0.5250000","0.6354919","0.7131132"
"V527","0.5260000","0.6432606","0.7160633"
"V528","0.5270000","0.6513615","0.7179821"
"V529","0.5280000","0.6594315","0.7187846"
"V530","0.5290000","0.6670214","0.7184155"
"V531","0.5300000","0.6735958","0.7168495"
"V532","0.5310000","0.6785776","0.7140910"
"V533","0.5320000","0.6814885","0.7101816"
"V534","0.5330000","0.6818912","0.7051993"
"V535","0.5340000","0.6795183","0.6992479"
"V536","0.5350000","0.6742810","0.6924564"
"V537","0.5360000","0.6662689","0.6849793"
"V538","0.5370000","0.6557496","0.6769960"
"V539","0.5380000","0.6431326","0.6686987"
"V540","0.5390000","0.6290660","0.6602855"
"V541","0.5400000","0.6143328","0.6519592"
"V542","0.5410000","0.5996821","0.6439042"
"V543","0.5420000","0.5858286","0.6362869"
"V544","0.5430000","0.5734530","0.6292556"
"V545","0.5440000","0.5632005","0.6229400"
"V546","0.5450000","0.5555399","0.6174405"
"V547","0.5460000","0.5506358","0.6128168"
"V548","0.5470000","0.5484608","0.6090987"
"V549","0.5480000","0.5487885","0.6062864"
"V550","0.5490000","0.5511945","0.6043500"
"V551","0.5500000","0.5550562","0.6032304"
"V552","0.5510000","0.5595682","0.6028401"
"V553","0.5520000","0.5639258","0.6030824"
"V554","0.5530000","0.5672215","0.6038388"
"V555","0.5540000","0.5686661","0.6049977"
"V556","0.5550000","0.5676539","0.6064620"
"V557","0.5560000","0.5637623","0.6081489"
"V558","0.5570000","0.5567514","0.6099905"
"V559","0.5580000","0.5465611","0.6119321"
"V560","0.5590000","0.5334401","0.6139461"
"V561","0.5600000","0.5179673","0.6160350"
"V562","0.5610000","0.5008226","0.6181978"
"V563","0.5620000","0.4827719","0.6204280"
"V564","0.5630000","0.4646670","0.6227137"
"V565","0.5640000","0.4474453","0.6250372"
"V566","0.5650000","0.4320430","0.6273675"
"V567","0.5660000","0.4191607","0.6296306"
"V568","0.5670000","0.4093675","0.6317230"
"V569","0.5680000","0.4029975","0.6335123"
"V570","0.5690000","0.4001452","0.6348366"
"V571","0.5700000","0.4006664","0.6355044"
"V572","0.5710000","0.4041790","0.6352953"
"V573","0.5720000","0.4101429","0.6339863"
"V574","0.5730000","0.4177853","0.6313346"
"V575","0.5740000","0.4262317","0.6271093"
"V576","0.5750000","0.4346694","0.6211384"
"V577","0.5760000","0.4423468","0.6133090"
"V578","0.5770000","0.4485733","0.6035667"
"V579","0.5780000","0.4527211","0.5919162"
"V580","0.5790000","0.4543540","0.5784529"
"V581","0.5800000","0.4533460","0.5634129"
"V582","0.5810000","0.4497366","0.5471090"
"V583","0.5820000","0.4437197","0.5299197"
"V584","0.5830000","0.4356437","0.5122888"
"V585","0.5840000","0.4260108","0.4947252"
"V586","0.5850000","0.4154586","0.4777924"
"V587","0.5860000","0.4045816","0.4620208"
"V588","0.5870000","0.3939947","0.4479567"
"V589","0.5880000","0.3842044","0.4360679"
"V590","0.5890000","0.3755757","0.4267223"
"V591","0.5900000","0.3683326","0.4201879"
"V592","0.5910000","0.3625579","0.4166334"
"V593","0.5920000","0.3582055","0.4161264"
"V594","0.5930000","0.3550573","0.4185663"
"V595","0.5940000","0.3527157","0.4236922"
"V596","0.5950000","0.3507707","0.4311607"
"V597","0.5960000","0.3488097","0.4405485"
"V598","0.5970000","0.3464170","0.4513529"
"V599","0.5980000","0.3431741","0.4629922"
"V600","0.5990000","0.3387041","0.4748529"
"V601","0.6000000","0.3328216","0.4863696"
"V602","0.6010000","0.3254548","0.4969908"
"V603","0.6020000","0.3166478","0.5062625"
"V604","0.6030000","0.3065608","0.5138301"
"V605","0.6040000","0.2954702","0.5194386"
"V606","0.6050000","0.2837682","0.5229318"
"V607","0.6060000","0.2718848","0.5242544"
"V608","0.6070000","0.2602887","0.5235149"
"V609","0.6080000","0.2494371","0.5209125"
"V610","0.6090000","0.2397011","0.5166988"
"V611","0.6100000","0.2313658","0.5111777"
"V612","0.6110000","0.2246303","0.5047053"
"V613","0.6120000","0.2196088","0.4976872"
"V614","0.6130000","0.2163074","0.4904985"
"V615","0.6140000","0.2145593","0.4834825"
"V616","0.6150000","0.2141381","0.4769393"
"V617","0.6160000","0.2147821","0.4711065"
"V618","0.6170000","0.2161939","0.4661594"
"V619","0.6180000","0.2180409","0.4622109"
"V620","0.6190000","0.2199634","0.4593147"
"V621","0.6200000","0.2216724","0.4574738"
"V622","0.6210000","0.2229351","0.4566225"
"V623","0.6220000","0.2235816","0.4566774"
"V624","0.6230000","0.2235141","0.4575454"
"V625","0.6240000","0.2227069","0.4591237"
"V626","0.6250000","0.2212059","0.4612996"
"V627","0.6260000","0.2191171","0.4639564"
"V628","0.6270000","0.2165831","0.4670123"
"V629","0.6280000","0.2137959","0.4704076"
"V630","0.6290000","0.2109303","0.4740955"
"V631","0.6300000","0.2081405","0.4780432"
"V632","0.6310000","0.2055597","0.4822315"
"V633","0.6320000","0.2033000","0.4866548"
"V634","0.6330000","0.2014460","0.4913109"
"V635","0.6340000","0.2000139","0.4961823"
"V636","0.6350000","0.1989825","0.5012430"
"V637","0.6360000","0.1983158","0.5064463"
"V638","0.6370000","0.1979624","0.5117249"
"V639","0.6380000","0.1978563","0.5169903"
"V640","0.6390000","0.1979161","0.5221336"
"V641","0.6400000","0.1980631","0.5270321"
"V642","0.6410000","0.1982414","0.5315412"
"V643","0.6420000","0.1984025","0.5355086"
"V644","0.6430000","0.1985092","0.5387866"
"V645","0.6440000","0.1985355","0.5412316"
"V646","0.6450000","0.1984667","0.5427048"
