"","V1","V2"
"V951","0.95","0.95"
"V952","0.951","0.951"
"V953","0.952","0.952"
"V954","0.953","0.953"
"V955","0.954","0.954"
"V956","0.955","0.955"
"V957","0.956","0.956"
"V958","0.957","0.957"
"V959","0.958","0.958"
"V960","0.959","0.959"
"V961","0.96","0.96"
"V962","0.961","0.961"
"V963","0.962","0.962"
"V964","0.963","0.963"
"V965","0.964","0.964"
"V966","0.965","0.965"
"V967","0.966","0.966"
"V968","0.967","0.967"
"V969","0.968","0.968"
"V970","0.969","0.969"
"V971","0.97","0.97"
"V972","0.971","0.971"
"V973","0.972","0.972"
"V974","0.973","0.973"
"V975","0.974","0.974"
"V976","0.975","0.975"
"V977","0.976","0.976"
"V978","0.977","0.977"
"V979","0.978","0.978"
"V980","0.979","0.979"
"V981","0.98","0.98"
"V982","0.981","0.981"
"V983","0.982","0.982"
"V984","0.983","0.983"
"V985","0.984","0.984"
"V986","0.985","0.985"
"V987","0.986","0.986"
"V988","0.987","0.987"
"V989","0.988","0.988"
"V990","0.989","0.989"
"V991","0.99","0.99"
"V992","0.991","0.991"
"V993","0.992","0.992"
"V994","0.993","0.993"
"V995","0.994","0.994"
"V996","0.995","0.995"
"V997","0.996","0.996"
"V998","0.997","0.997"
"V999","0.998","0.998"
"V1000","0.999","0.999"
"V1001","1","1"
