"","V1","V2","V3"
"V222"," 0.2210000","-0.6079334","-0.5735754"
"V223"," 0.2220000","-0.6081452","-0.5733889"
"V224"," 0.2230000","-0.6083505","-0.5732107"
"V225"," 0.2240000","-0.6085493","-0.5730408"
"V226"," 0.2250000","-0.6087418","-0.5728791"
"V227"," 0.2260000","-0.6089280","-0.5727257"
"V228"," 0.2270000","-0.6091079","-0.5725804"
"V229"," 0.2280000","-0.6092817","-0.5724433"
"V230"," 0.2290000","-0.6094495","-0.5723144"
"V231"," 0.2300000","-0.6096112","-0.5721935"
"V232"," 0.2310000","-0.6097671","-0.5720808"
"V233"," 0.2320000","-0.6099171","-0.5719763"
"V234"," 0.2330000","-0.6100614","-0.5718796"
"V235"," 0.2340000","-0.6102001","-0.5717908"
"V236"," 0.2350000","-0.6103332","-0.5717097"
"V237"," 0.2360000","-0.6104609","-0.5716361"
"V238"," 0.2370000","-0.6105834","-0.5715698"
"V239"," 0.2380000","-0.6107006","-0.5715108"
"V240"," 0.2390000","-0.6108128","-0.5714589"
"V241"," 0.2400000","-0.6109200","-0.5714139"
"V242"," 0.2410000","-0.6110223","-0.5713757"
"V243"," 0.2420000","-0.6111200","-0.5713442"
"V244"," 0.2430000","-0.6112130","-0.5713191"
"V245"," 0.2440000","-0.6113015","-0.5713003"
"V246"," 0.2450000","-0.6113857","-0.5712877"
"V247"," 0.2460000","-0.6114657","-0.5712811"
"V248"," 0.2470000","-0.6115416","-0.5712804"
"V249"," 0.2480000","-0.6116135","-0.5712853"
"V250"," 0.2490000","-0.6116816","-0.5712958"
"V251"," 0.2500000","-0.6117460","-0.5713116"
"V252"," 0.2510000","-0.6118068","-0.5713326"
"V253"," 0.2520000","-0.6118643","-0.5713586"
"V254"," 0.2530000","-0.6119185","-0.5713895"
"V255"," 0.2540000","-0.6119696","-0.5714250"
"V256"," 0.2550000","-0.6120177","-0.5714651"
"V257"," 0.2560000","-0.6120630","-0.5715095"
"V258"," 0.2570000","-0.6121056","-0.5715580"
"V259"," 0.2580000","-0.6121457","-0.5716106"
"V260"," 0.2590000","-0.6121835","-0.5716669"
"V261"," 0.2600000","-0.6122190","-0.5717269"
"V262"," 0.2610000","-0.6122526","-0.5717903"
"V263"," 0.2620000","-0.6122843","-0.5718569"
"V264"," 0.2630000","-0.6123142","-0.5719266"
"V265"," 0.2640000","-0.6123427","-0.5719993"
"V266"," 0.2650000","-0.6123697","-0.5720746"
"V267"," 0.2660000","-0.6123956","-0.5721524"
"V268"," 0.2670000","-0.6124204","-0.5722326"
"V269"," 0.2680000","-0.6124444","-0.5723149"
"V270"," 0.2690000","-0.6124678","-0.5723991"
"V271"," 0.2700000","-0.6124906","-0.5724850"
"V272"," 0.2710000","-0.6125132","-0.5725725"
"V273"," 0.2720000","-0.6125356","-0.5726614"
"V274"," 0.2730000","-0.6125581","-0.5727514"
"V275"," 0.2740000","-0.6125808","-0.5728424"
"V276"," 0.2750000","-0.6126040","-0.5729341"
"V277"," 0.2760000","-0.6126277","-0.5730266"
"V278"," 0.2770000","-0.6126521","-0.5731199"
"V279"," 0.2780000","-0.6126774","-0.5732138"
"V280"," 0.2790000","-0.6127037","-0.5733082"
"V281"," 0.2800000","-0.6127314","-0.5734030"
"V282"," 0.2810000","-0.6127604","-0.5734981"
"V283"," 0.2820000","-0.6127912","-0.5735934"
"V284"," 0.2830000","-0.6128237","-0.5736888"
"V285"," 0.2840000","-0.6128582","-0.5737842"
"V286"," 0.2850000","-0.6128949","-0.5738797"
"V287"," 0.2860000","-0.6129339","-0.5739750"
"V288"," 0.2870000","-0.6129755","-0.5740703"
"V289"," 0.2880000","-0.6130197","-0.5741654"
"V290"," 0.2890000","-0.6130668","-0.5742603"
"V291"," 0.2900000","-0.6131169","-0.5743551"
"V292"," 0.2910000","-0.6131701","-0.5744496"
"V293"," 0.2920000","-0.6132267","-0.5745440"
"V294"," 0.2930000","-0.6132867","-0.5746382"
"V295"," 0.2940000","-0.6133504","-0.5747322"
"V296"," 0.2950000","-0.6134178","-0.5748261"
"V297"," 0.2960000","-0.6134892","-0.5749200"
"V298"," 0.2970000","-0.6135646","-0.5750138"
"V299"," 0.2980000","-0.6136443","-0.5751076"
"V300"," 0.2990000","-0.6137282","-0.5752016"
"V301"," 0.3000000","-0.6138167","-0.5752957"
"V302"," 0.3010000","-0.6139098","-0.5753901"
"V303"," 0.3020000","-0.6140076","-0.5754849"
"V304"," 0.3030000","-0.6141103","-0.5755802"
"V305"," 0.3040000","-0.6142179","-0.5756760"
"V306"," 0.3050000","-0.6143307","-0.5757726"
"V307"," 0.3060000","-0.6144488","-0.5758700"
"V308"," 0.3070000","-0.6145721","-0.5759684"
"V309"," 0.3080000","-0.6147010","-0.5760679"
"V310"," 0.3090000","-0.6148354","-0.5761688"
"V311"," 0.3100000","-0.6149755","-0.5762712"
"V312"," 0.3110000","-0.6151214","-0.5763752"
"V313"," 0.3120000","-0.6152732","-0.5764810"
"V314"," 0.3130000","-0.6154311","-0.5765890"
"V315"," 0.3140000","-0.6155950","-0.5766992"
